주문번호 	배송지	주문제품	ID	전화번호	주문일자	배송일 -> 윗줄 지우고 쓰기
1002	14532	100001 1 100006 3 100007 2	mnkim20	10123456789	20211112	20211130
1003	17414	100001 1 100006 3 100007 2	kjmin	10123456790	20211112	20211130
1004	16843	100001 1 100006 3 100007 3	ky1001	10123456791	20211112	20211130
1005	16012	100001 1 100006 3 100007 4	minsun	10123456792	20211112	20211114
1006	30015	100001 1 100006 3 100007 5	byobill	10123456793	20211112	20211115
1007	14352	100001 1 100006 3 100007 6	jod123456	10123456794	20211113	20211116
1008	18124	100001 1 100006 3 100007 7	nam6886	10123456795	20211114	20211117
1009	14532	100001 1 100006 3 100007 8	mnkim20	10123456796	20211115	20211118
1010	17414	100001 1 100006 3 100007 9	kjmin	10123456797	20211116	20211119
1011	16843	100001 1 100006 3 100007 10	ky1001	10123456798	20211117	20211120
1012	16012	100001 1 100006 3 100007 11	minsun	10123456799	20211118	20211121
1013	30015	100001 1 100006 3 100007 12	byobill	10123456800	20211119	20211122
1014	14352	100001 1 100006 3 100007 13	jod123456	10123456801	20211120	20211123
1015	18124	100001 1 100006 3 100007 14	nam6886	10123456802	20211121	20211124
1016	14532	100001 1 100006 3 100007 15	mnkim20	10123456803	20211122	20211125
1017	17414	100001 1 100006 3 100007 16	kjmin	10123456804	20211123	20211126
1018	16843	100001 1 100006 3 100007 17	ky1001	10123456805	20211124	20211127
1019	16012	100001 1 100006 3 100007 18	minsun	10123456806	20211125	20211128
1020	30015	100001 1 100006 3 100007 19	byobill	10123456807	20211126	20211129
1021	14352	100001 1 100006 3 100007 20	jod123456	10123456808	20211127	20211130
1022	18124	100001 1 100006 3 100007 21	nam6886	10123456809	20211128	20211131
